Name,ID,Gender & Breed,skip,DOB,Age override,Fee,Picture,Status
Kane,1524,Male Shepherd/Lab Mix,,2020-05-31,,$95,s.jpg,
Chrissy,1577,Female Golden Retriever Mix,,2014-11-01,,$95,s.jpg,
Panzer,1578,Female Shepherd/Husky? Mix,,2009-11-01,,HOSPICE FOSTER NEEDED,s.jpg,pending
Buddy,1581,Male Cocker/Mixed,,2015-01-01,,SPECIAL NEEDS $50,s.jpg,
Taco & Chloe,1582-1584,M-F BONDED chis,,,12 & 7 years old,$50 or SENIOR FOR SENIOR,s.jpg,
Nitro,1583,Male Chihuahua,,2012-11-22,,$50 or SENIOR FOR SENIOR,Nitrosmall.jpg,
Tina,1585,Female Westie mix,,2013-11-01,,$50 or SENIOR FOR SENIOR,Tinasmall.jpg,
Frosty,1586,Female Westie mix,,2013-11-01,,$50 or SENIOR FOR SENIOR,Frostysmall.jpg,
Crystal,1594,Female Westie Mix,,2021-12-02,,$150,Crystalsmall.jpg,
Milly,1595,Female Westie Mix,,2021-12-02,,$150,Millysmall.jpg,
Hinkle,1596,Male Westie Mix,,2021-12-02,,$150,Hinklesmall.jpg,closed
Chilly,1597,Male Westy Mix,,2021-12-02,,$150,Chillysmall.jpg,
Twitchell,1598,Male Westy Mix,,2021-12-02,,$150,Twitchellsmall.jpg,closed
Bella,1598,Female Shepherd Mix,,2015-08-01,,$95,Bellasmall.jpg,
Penny,1601,Female Am Bully x SPECIAL NEEDS,,2021-08-29,,$95,Pennysmall.jpg,
Khiara,1603,Female Heeler Mix,,2019-01-10,,$95,Khiarasmall.jpg,pending
